n,tempo_ms,Ologn,On,Onlogn,On2,On3,O2n
200,4.05e-05,7.64386,200,1528.77,40000,8e+06,1.04858e+06
202,4.0225e-05,7.65821,202,1546.96,40804,8.24241e+06,1.04858e+06
204,4.0758e-05,7.67243,204,1565.17,41616,8.48966e+06,1.04858e+06
206,4.2616e-05,7.6865,206,1583.42,42436,8.74182e+06,1.04858e+06
208,4.0926e-05,7.70044,208,1601.69,43264,8.99891e+06,1.04858e+06
210,4.0833e-05,7.71425,210,1619.99,44100,9.261e+06,1.04858e+06
212,3.9808e-05,7.72792,212,1638.32,44944,9.52813e+06,1.04858e+06
214,3.9717e-05,7.74147,214,1656.67,45796,9.80034e+06,1.04858e+06
216,4.0423e-05,7.75489,216,1675.06,46656,1.00777e+07,1.04858e+06
218,4.0401e-05,7.76818,218,1693.46,47524,1.03602e+07,1.04858e+06
220,3.9901e-05,7.78136,220,1711.9,48400,1.0648e+07,1.04858e+06
222,4.0169e-05,7.79442,222,1730.36,49284,1.0941e+07,1.04858e+06
224,3.9594e-05,7.80735,224,1748.85,50176,1.12394e+07,1.04858e+06
226,3.9754e-05,7.82018,226,1767.36,51076,1.15432e+07,1.04858e+06
228,3.9653e-05,7.83289,228,1785.9,51984,1.18524e+07,1.04858e+06
230,4.1167e-05,7.84549,230,1804.46,52900,1.2167e+07,1.04858e+06
232,3.9691e-05,7.85798,232,1823.05,53824,1.24872e+07,1.04858e+06
234,4.0536e-05,7.87036,234,1841.67,54756,1.28129e+07,1.04858e+06
236,4.1472e-05,7.88264,236,1860.3,55696,1.31443e+07,1.04858e+06
238,4.1283e-05,7.89482,238,1878.97,56644,1.34813e+07,1.04858e+06
240,4.0556e-05,7.90689,240,1897.65,57600,1.3824e+07,1.04858e+06
242,4.0586e-05,7.91886,242,1916.36,58564,1.41725e+07,1.04858e+06
244,4.0638e-05,7.93074,244,1935.1,59536,1.45268e+07,1.04858e+06
246,4.0637e-05,7.94251,246,1953.86,60516,1.48869e+07,1.04858e+06
248,4.0566e-05,7.9542,248,1972.64,61504,1.5253e+07,1.04858e+06
250,4.0196e-05,7.96578,250,1991.45,62500,1.5625e+07,1.04858e+06
252,4.0739e-05,7.97728,252,2010.27,63504,1.6003e+07,1.04858e+06
254,4.0531e-05,7.98868,254,2029.13,64516,1.63871e+07,1.04858e+06
256,4.3105e-05,8,256,2048,65536,1.67772e+07,1.04858e+06
258,4.336e-05,8.01123,258,2066.9,66564,1.71735e+07,1.04858e+06
260,4.2308e-05,8.02237,260,2085.82,67600,1.7576e+07,1.04858e+06
262,4.2344e-05,8.03342,262,2104.76,68644,1.79847e+07,1.04858e+06
264,4.3115e-05,8.04439,264,2123.72,69696,1.83997e+07,1.04858e+06
266,4.3118e-05,8.05528,266,2142.71,70756,1.88211e+07,1.04858e+06
268,4.2453e-05,8.06609,268,2161.71,71824,1.92488e+07,1.04858e+06
270,4.239e-05,8.07682,270,2180.74,72900,1.9683e+07,1.04858e+06
272,4.3136e-05,8.08746,272,2199.79,73984,2.01236e+07,1.04858e+06
274,4.3238e-05,8.09803,274,2218.86,75076,2.05708e+07,1.04858e+06
276,4.2429e-05,8.10852,276,2237.95,76176,2.10246e+07,1.04858e+06
278,4.2306e-05,8.11894,278,2257.07,77284,2.1485e+07,1.04858e+06
280,4.3159e-05,8.12928,280,2276.2,78400,2.1952e+07,1.04858e+06
282,4.3035e-05,8.13955,282,2295.35,79524,2.24258e+07,1.04858e+06
284,4.2666e-05,8.14975,284,2314.53,80656,2.29063e+07,1.04858e+06
286,4.3016e-05,8.15987,286,2333.72,81796,2.33937e+07,1.04858e+06
288,4.3564e-05,8.16993,288,2352.94,82944,2.38879e+07,1.04858e+06
290,4.2848e-05,8.17991,290,2372.17,84100,2.4389e+07,1.04858e+06
292,4.3595e-05,8.18982,292,2391.43,85264,2.48971e+07,1.04858e+06
294,4.3589e-05,8.19967,294,2410.7,86436,2.54122e+07,1.04858e+06
296,4.2112e-05,8.20945,296,2430,87616,2.59343e+07,1.04858e+06
298,4.2215e-05,8.21917,298,2449.31,88804,2.64636e+07,1.04858e+06
300,4.2604e-05,8.22882,300,2468.65,90000,2.7e+07,1.04858e+06
302,4.2416e-05,8.2384,302,2488,91204,2.75436e+07,1.04858e+06
304,4.3167e-05,8.24793,304,2507.37,92416,2.80945e+07,1.04858e+06
306,4.3085e-05,8.25739,306,2526.76,93636,2.86526e+07,1.04858e+06
308,4.2336e-05,8.26679,308,2546.17,94864,2.92181e+07,1.04858e+06
310,4.2302e-05,8.27612,310,2565.6,96100,2.9791e+07,1.04858e+06
312,4.317e-05,8.2854,312,2585.05,97344,3.03713e+07,1.04858e+06
314,4.3185e-05,8.29462,314,2604.51,98596,3.09591e+07,1.04858e+06
316,4.2442e-05,8.30378,316,2623.99,99856,3.15545e+07,1.04858e+06
318,4.2429e-05,8.31288,318,2643.5,101124,3.21574e+07,1.04858e+06
320,4.3185e-05,8.32193,320,2663.02,102400,3.2768e+07,1.04858e+06
322,4.3102e-05,8.33092,322,2682.56,103684,3.33862e+07,1.04858e+06
324,4.2361e-05,8.33985,324,2702.11,104976,3.40122e+07,1.04858e+06
326,4.2527e-05,8.34873,326,2721.69,106276,3.4646e+07,1.04858e+06
328,4.3174e-05,8.35755,328,2741.28,107584,3.52876e+07,1.04858e+06
330,4.2277e-05,8.36632,330,2760.89,108900,3.5937e+07,1.04858e+06
332,4.2529e-05,8.37504,332,2780.51,110224,3.65944e+07,1.04858e+06
334,4.2413e-05,8.3837,334,2800.16,111556,3.72597e+07,1.04858e+06
336,4.3091e-05,8.39232,336,2819.82,112896,3.79331e+07,1.04858e+06
338,4.3293e-05,8.40088,338,2839.5,114244,3.86145e+07,1.04858e+06
340,5.9747e-05,8.40939,340,2859.19,115600,3.9304e+07,1.04858e+06
342,4.3022e-05,8.41785,342,2878.91,116964,4.00017e+07,1.04858e+06
344,4.3126e-05,8.42626,344,2898.64,118336,4.07076e+07,1.04858e+06
346,4.3207e-05,8.43463,346,2918.38,119716,4.14217e+07,1.04858e+06
348,4.2655e-05,8.44294,348,2938.14,121104,4.21442e+07,1.04858e+06
